geographyFk,houseMedianPrice,listingCount,geography,families,reliability,monthlyIncome,monthlyExpenses,netIncome,capacityToPayPagibig,capacityToPayBank,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
035401000,1767800.00,142,angeles,139,Moderate,41828,31118,10710,14639.80,12548.40,1591020,9284.76,14639.80,-5355.04,Applicable,1414240,10964.59,12548.40,-1583.81,Applicable
037107000,1600000.00,6,olongapo,63,Low,32120,27656,4464,11242.00,9636.00,1440000,8403.45,11242.00,-2838.55,Applicable,1280000,9923.83,9636.00,287.83,Not Applicable
072230000,3657300.00,46,mandaue,124,Moderate,35401,23586,11815,12390.35,10620.30,3291570,19208.71,12390.35,6818.36,Not Applicable,2925840,22684.01,10620.30,12063.71,Not Applicable
137405000,6065000.00,63,san juan,29,Very Low,70234,54065,16169,24581.90,21070.20,5458500,31854.32,24581.90,7272.42,Not Applicable,4852000,37617.50,21070.20,16547.30,Not Applicable
097332000,2044000.00,21,zamboanga,217,High,24689,21187,3502,8641.15,7406.70,1839600,10735.41,8641.15,2094.26,Not Applicable,1635200,12677.69,7406.70,5270.99,Not Applicable
051600000,4800000.00,2,camarines norte,152,Moderate,23902,15864,8038,8365.70,7170.60,4320000,25210.35,8365.70,16844.65,Not Applicable,3840000,29771.48,7170.60,22600.88,Not Applicable
037700000,1598000.00,4,aurora,57,Low,25439,19564,5875,8903.65,7631.70,1438200,8392.94,8903.65,-510.71,Applicable,1278400,9911.42,7631.70,2279.72,Not Applicable
101800000,639000.00,1,camiguin,23,Very Low,27033,18757,8276,9461.55,8109.90,575100,3356.13,9461.55,-6105.42,Applicable,511200,3963.33,8109.90,-4146.57,Applicable
060600000,1708000.00,5,antique,151,Moderate,25553,18032,7521,8943.55,7665.90,1537200,8970.68,8943.55,27.13,Not Applicable,1366400,10593.68,7665.90,2927.78,Not Applicable
118200000,872100.00,2,davao de oro,195,Moderate,23143,13746,9397,8100.05,6942.90,784890,4580.40,8100.05,-3519.65,Applicable,697680,5409.11,6942.90,-1533.79,Applicable
