,id,geographyFk_city,geographyFk_province,title,price,pricePerSqm,floorArea,lotArea,propertyCategory
138,16dd0628-12f3-4456-a444-71335a9069b7,133900000,130000000,Vacant Lot,5941000.0,29504.0,,201.36,Vacant Lot
139,c625b2f3-92cf-4612-8f72-27df62ef1ac4,133900000,130000000,With Improvement,20942000.0,74000.0,,283.0,Lot with Improvement
140,70784822-8102-46ff-87f1-78ca82b110b3,41005000,41000000,Vacant Lot,1368000.0,5700.0,,240.0,Vacant Lot
141,6080a902-2533-4556-9797-17375b61ab49,41005000,41000000,Vacant Lot,1368000.0,5700.0,,240.0,Vacant Lot
142,6ef82d12-77f2-4497-bf3f-c8bacbc7e23e,41005000,41000000,Vacant Lot,1368000.0,5700.0,,240.0,Vacant Lot
143,e4c2f9f9-53c8-4fd0-acd5-b083de3fbcd8,41005000,41000000,Vacant Lot,1368000.0,5700.0,,240.0,Vacant Lot
144,da7928b7-3db4-44b2-9dc1-698e246090ef,112402000,112400000,Vacant Lot,321353.02,1785.0,,180.0,Vacant Lot
145,fc943ca8-3a91-47a9-80ea-a39435e9e88f,112402000,112400000,Vacant Lot,389931.19,2166.0,,180.0,Vacant Lot
146,5196f3dc-ff84-4074-838a-9ca51deecea6,112402000,112400000,Vacant Lot,522144.89,2498.0,,209.0,Vacant Lot
147,331514f2-e5fa-436c-baf5-f664e0c22ae9,,42100000,Vacant Lot,1440000.0,3000.0,,480.0,Vacant Lot
148,287a5c34-7421-4ea9-8e7d-f2b575ac94c9,112509000,112500000,With Improvement,4620000.0,3300.0,,1400.0,Lot with Improvement
149,2a32713e-f2c3-4d26-b0ab-20375ccb262e,126303000,126300000,Vacant Lot,1300000.0,5200.0,,250.0,Vacant Lot
150,86c5eebc-6e17-4cd3-9912-9e4739173409,126303000,126300000,Vacant Lot,725000.0,2900.0,,250.0,Vacant Lot
151,650b01bf-45a9-484d-8351-0962cd54e9c5,,43400000,Vacant Lot,1149000.0,4303.0,,267.0,Vacant Lot
152,6345768d-b6b1-40f4-95fc-eb46831931de,,43400000,Vacant Lot,658000.0,4301.0,,153.0,Vacant Lot
153,4ddb1fad-6266-4b45-b8a8-19da186dae4b,15532000,15500000,With Improvement-Bundle,486100.76,4501.0,,108.0,Lot with Improvement
154,2295a10a-01c9-4127-9467-5f695d3a9e8d,43403000,43400000,With Improvement-Bundle,1890187.92,7001.0,,270.0,Lot with Improvement
155,87596338-739a-4c45-982f-910ce4c8134c,133900000,130000000,With Improvement-Bundle,8680020.18,31000.0,,280.0,Lot with Improvement
156,13d75971-f0c7-4f2e-a977-04fcc05ec57e,,31400000,Vacant Lot,870000.0,5800.0,,150.0,Vacant Lot
157,10c6ece4-bb9e-448a-879a-f7f421da16ed,,45800000,Vacant Lot,329000.0,7000.0,,47.0,Vacant Lot
158,a2807b8b-713f-4b7a-b86f-47dde1e8a5de,,45800000,Vacant Lot,280000.0,7000.0,,40.0,Vacant Lot
159,e1cb07fd-1b5c-4a3d-9d78-089fcfaff441,,45800000,Vacant Lot,280000.0,7000.0,,40.0,Vacant Lot
160,28280486-42fd-4373-a494-625731d47b83,,45800000,Vacant Lot,294000.0,7000.0,,42.0,Vacant Lot
161,4ce4a7a8-aa06-41d9-9637-985f94896f2c,,45800000,Vacant Lot,329000.0,7000.0,,47.0,Vacant Lot
162,7f7b35f6-1455-42e3-8c66-c5dc3da9fba2,,45800000,Vacant Lot,364000.0,7000.0,,52.0,Vacant Lot
