,geographyFk,capacityToPayPagibig,capacityToPayBank,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
68,112402000.0,12043.15,10322.7,2163000.0,233,350938.071,2047.98,12043.15,9995.17,Applicable,311944.952,2418.51,10322.7,7904.19,Applicable
69,112402000.0,12043.15,10322.7,2163000.0,233,469930.401,2742.39,12043.15,9300.76,Applicable,417715.912,3238.55,10322.7,7084.15,Applicable
70,126303000.0,9678.2,8295.6,2172000.0,81,1170000.0,6827.8,9678.2,2850.4,Applicable,1040000.0,8063.11,8295.6,232.49,Applicable
71,126303000.0,9678.2,8295.6,2172000.0,81,652500.0,3807.81,9678.2,5870.39,Applicable,580000.0,4496.73,8295.6,3798.87,Applicable
72,133900000.0,14081.55,12069.9,4013370.0,781,7812018.162,45588.82,14081.55,-31507.27,Not Applicable,6944016.144,53836.88,12069.9,-41766.98,Not Applicable
73,112402000.0,12043.15,10322.7,2163000.0,233,793800.0,4632.4,12043.15,7410.75,Applicable,705600.0,5470.51,10322.7,4852.19,Applicable
74,133900000.0,14081.55,12069.9,4013370.0,781,8600212.269000001,50188.5,14081.55,-36106.95,Not Applicable,7644633.1280000005,59268.76,12069.9,-47198.86,Not Applicable
75,45624000.0,10556.35,9048.3,1276000.0,311,881303.49,5143.05,10556.35,5413.3,Applicable,783380.88,6073.54,9048.3,2974.76,Applicable
76,133900000.0,14081.55,12069.9,4013370.0,781,540132.462,3152.07,14081.55,10929.48,Applicable,480117.74400000006,3722.35,12069.9,8347.55,Applicable
77,72217000.0,8556.8,7334.4,3150000.0,548,3285900.0,19175.62,8556.8,-10618.82,Not Applicable,2920800.0,22644.93,7334.4,-15310.53,Not Applicable
78,72217000.0,11269.65,9659.7,3150000.0,548,3285900.0,19175.62,11269.65,-7905.97,Not Applicable,2920800.0,22644.93,9659.7,-12985.23,Not Applicable
